post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Sun Oct 20 23:10:00 +0000 2019,The world’s poorest people often rely on farming both to feed their families and to earn an income. They will be among the first to face the effects of climate change. I’m excited about innovations aimed at addressing this problem: https://t.co/H7KrSXFo4b https://t.co/1QJg3gyJZY,796,1,2,1,1,0,23,0,worlds poorest people often rely farming feed families earn income among first face effects climate change excited innovations aimed addressing problem,-0.5859,0.09,0.677,0.233
Sat Oct 19 17:05:00 +0000 2019,"Congrats to Esther Duflo, Abhijit Banerjee, and Michael Kremer for winning this year’s @NobelPrize in economics. I’ve learned a lot from their pioneering work to better understand the complexities of the lives of the world’s poorest people. https://t.co/Uc0XeytGRs",913,1,1,0,1,0,17,0,congrats esther duflo abhijit banerjee michael kremer winning years nobelprize economics ive learned lot pioneering work better understand complexities lives worlds poorest people,0.7351,0.301,0.59,0.109
Fri Oct 18 20:00:00 +0000 2019,"The world is facing a crisis at the dinner table, one that climate change will only worsen. I’m optimistic about the progress being made by @RIPEproject on a much-needed breakthrough. https://t.co/pzM61gDdWE",714,1,1,0,1,0,20,0,world facing crisis dinner table climate change worsen optimistic progress made ripeproject muchneeded breakthrough,-0.5106,0.227,0.444,0.329
Tue Oct 15 19:58:30 +0000 2019,The odds of dying of AIDS in South Africa are less than half what they were at the peak. That progress wouldn’t have been possible without the @GlobalFund and other global health organizations. Even more progress is possible if we keep up the fight: https://t.co/71W2exSVZT https://t.co/f2gJwuIb9H,585,1,2,1,1,0,19,0,odds dying aids south africa less half peak progress wouldnt possible without globalfund global health organizations even progress possible keep fight,0.3554,0.198,0.701,0.101
Sat Oct 12 19:14:19 +0000 2019,We need more approaches to stopping #Alzheimers disease. I’m excited to see this news out of @DZNE_de and @ISD_Research about a promising starting point for the development of new therapeutic strategies. https://t.co/zj81EbL7X6,1172,1,1,0,1,0,19,1,need approaches stopping alzheimers disease excited see news dznede isdresearch promising starting point development new therapeutic strategies,0.5423,0.246,0.676,0.077
Fri Oct 11 20:00:00 +0000 2019,I’m impressed by the international cooperation that made this year’s @GlobalFund Replenishment round possible. The world has committed more than ever before. Our foundation is proud to commit $700 million to over the next 3 years. #StepUptheFight https://t.co/mfuamNyygd,539,1,1,0,1,0,20,1,impressed international cooperation made years globalfund replenishment round possible world committed ever foundation proud commit 700 million next 3 years stepupthefight,0.8591,0.396,0.604,0.0
Fri Oct 11 18:00:40 +0000 2019,"I can’t think of a more fitting tribute to Hans Rosling and his life’s work. Hans was a dear friend to Melinda and me – and inspired us all with his passion, intelligence, and wit. https://t.co/gYfioNQBuW",422,1,1,0,1,0,18,0,cant think fitting tribute hans rosling lifes work hans dear friend melinda inspired us passion intelligence wit,0.9337,0.557,0.443,0.0
Thu Oct 10 17:04:48 +0000 2019,"I’m in Lyon, France for the @GlobalFund’s replenishment – celebrating the most money ever raised for their life-saving work. I’m excited for the day that these diseases are in the history books. #StepUptheFight https://t.co/isnpGkyNWE",586,1,1,0,1,0,17,1,lyon france globalfunds replenishment celebrating money ever raised lifesaving work excited day diseases history books stepupthefight,0.7269,0.303,0.697,0.0
Wed Oct 09 20:09:03 +0000 2019,"In Afghanistan, one of the last countries with polio, vaccine acceptance rates have reached 98% thanks to the tireless work of female health workers. Their increased involvement and passion is why polio eradication is within reach in Afghanistan. https://t.co/v2yPVeSCiz",1059,1,1,0,1,0,20,0,afghanistan last countries polio vaccine acceptance rates reached 98 thanks tireless work female health workers increased involvement passion polio eradication within reach afghanistan,0.8885,0.443,0.557,0.0
Wed Oct 09 14:45:36 +0000 2019,"If all countries in the world had the same concentration of researchers as wealthy ones, there would be 3x as many researchers. That’s mind-blowing. We all lose out when talent isn’t connected with opportunity. @OurWorldInData https://t.co/a9m56tDdLp",2179,1,1,0,1,0,14,0,countries world concentration researchers wealthy ones would 3x many researchers thats mindblowing lose talent isnt connected opportunity ourworldindata,0.069,0.218,0.575,0.207
Tue Oct 08 21:41:59 +0000 2019,Malnutrition is the greatest health inequity in the world. I recently spoke with my friend @AlikoDangote about how we can use iodized salt to help kids gets the nutrients they need: https://t.co/PXp3WeJfEy https://t.co/qpQ51LWZuf,1832,1,2,1,1,0,21,0,malnutrition greatest health inequity world recently spoke friend alikodangote use iodized salt help kids gets nutrients need,0.8779,0.419,0.581,0.0
Mon Oct 07 18:26:53 +0000 2019,"I’m lucky to have known Stephen Hawking — and he was as exceptional in person as you imagined he was. As remarkable as his contributions to physics were, his biggest accomplishment was inspiring the world to believe in the magic of science and research. https://t.co/FxiyzmBTuz",2105,1,1,0,1,0,18,0,lucky known stephen hawking exceptional person imagined remarkable contributions physics biggest accomplishment inspiring world believe magic science research,0.8481,0.38,0.62,0.0
Sat Oct 05 12:00:03 +0000 2019,Here is the story of the day I knew what I wanted to do for the rest of my life and the influence of someone who’s been a critical guide along the way: https://t.co/KWOicXCab6 https://t.co/R62eDi82yG,844,1,2,1,1,0,12,0,story day knew wanted rest life influence someone whos critical guide along way,-0.3182,0.0,0.839,0.161
Fri Oct 04 12:00:01 +0000 2019,"@TheEconomist is right: climate change touches everything and everyone -- and, unfairly, the poor and marginalized have the most to lose. 

If you want to understand what can be done, I highly recommend you read this issue. https://t.co/3JZS3WsAzQ",438,1,1,0,1,0,12,0,theeconomist right climate change touches everything everyone unfairly poor marginalized lose want understand done highly recommend read issue,-0.4033,0.171,0.586,0.243
Wed Oct 02 16:24:38 +0000 2019,Melinda's work on behalf of women and girls around the world inspires me every day. She's committing $1 billion over the next ten years to increasing women's power and influence in the United States. Because #EqualityCantWait. https://t.co/QHnPyAeN59,2593,1,1,0,1,0,16,1,melindas work behalf women girls around world inspires every day shes committing 1 billion next ten years increasing womens power influence united states equalitycantwait,0.7184,0.259,0.741,0.0
Wed Oct 02 05:29:00 +0000 2019,"I’m delighted that @erna_solberg has re-upped Norway’s commitment to support the work of the @GlobalFund. I welcome her sustained leadership and partnership in the fight against AIDS, TB, and malaria. https://t.co/2NTVVpmEul",590,1,1,0,1,0,5,0,delighted ernasolberg reupped norways commitment support work globalfund welcome sustained leadership partnership fight aids tb malaria,0.8402,0.46,0.437,0.103
Tue Oct 01 19:48:30 +0000 2019,"Most people know @AlikoDangote as Africa’s wealthiest man, but I know him as one of our foundation’s most impactful partners in improving health. Melinda and I are lucky to count him as a partner (and friend!) in our work. https://t.co/9Pk8seLGpi",7205,1,1,0,1,0,19,0,people know alikodangote africas wealthiest man know foundations impactful partners improving health melinda lucky count partner friend work,0.9001,0.462,0.538,0.0
