post_time,text,retweet,Photo/Link_Normalized,Photo/Link,Photo,Link,No_Photo/Link_Normalized,hours,Hastag_Count,text1,compound_score,positive_score,neutral_score,negative_score
Fri Oct 18 18:58:48 +0000 2019,Very inspiring to see the historic #AllWomanSpacewalk - hopefully just the first of many to come. Congrats @Astro_Christina and @Astro_Jessica on your success today!,182,1,1,0,1,0,18,1,inspiring see historic allwomanspacewalk hopefully first many come congrats astrochristina astrojessica success today,0.9118,0.583,0.417,0.0
Tue Oct 15 15:29:13 +0000 2019,"Very excited to introduce our latest family of #MadebyGoogle hardware: Pixel 4, Nest Mini, Nest Wifi, Pixelbook Go &amp; Pixel Buds - all designed to work together for a seamless, consistent experience, helping you whether you're at home or on the go. https://t.co/7hTYFAhDXl",773,1,1,0,1,0,15,1,excited introduce latest family madebygoogle hardware pixel 4 nest mini nest wifi pixelbook go amp pixel buds designed work together seamless consistent experience helping whether youre home go,0.5574,0.155,0.845,0.0
Mon Oct 07 16:39:11 +0000 2019,"Today we’re kicking off our 3rd #ImpactChallengeBayArea: we’ll donate $10M in grants to 35 nonprofits working to improve our communities. Excited to see the ideas that will come up and look forward to the progress we can make together in the Bay Area.
https://t.co/fgFnDwnVDz",151,1,1,0,1,0,16,1,today kicking 3rd impactchallengebayarea well donate 10m grants 35 nonprofits working improve communities excited see ideas come look forward progress make together bay area,0.8779,0.389,0.611,0.0
Wed Oct 02 18:46:47 +0000 2019,"Building on the privacy &amp; security features discussed at #io19, this week we're rolling out Incognito mode on Maps, Auto-delete in YouTube, simpler privacy controls, and even more protection for your passwords with a new Password Checkup feature.
https://t.co/RY8FN966jY",258,1,1,0,1,0,18,1,building privacy amp security features discussed io19 week rolling incognito mode maps autodelete youtube simpler privacy controls even protection passwords new password checkup feature,0.34,0.094,0.906,0.0
Sat Sep 28 03:41:45 +0000 2019,"Thanks for all the Google 21st birthday wishes but more importantly, thank you to our users and partners for all your support. We will keep working hard to build a more helpful Google for everyone. https://t.co/Kf4Yz3EaP6",1240,1,2,1,1,0,3,0,thanks google 21st birthday wishes importantly thank users partners support keep working hard build helpful google everyone,0.9081,0.565,0.382,0.053
Thu Sep 26 17:01:09 +0000 2019,"Happy 5th birthday to Google Classroom! Thank you to all of the educators who have given us helpful feedback over the years, and to the 40 million teachers and students using Classroom around the world. 
https://t.co/CQ0180BfEu",378,1,1,0,1,0,17,0,happy 5th birthday google classroom thank educators given us helpful feedback years 40 million teachers students using classroom around world,0.8402,0.346,0.654,0.0
Tue Sep 24 16:02:55 +0000 2019,"Detecting deepfakes is one of the most important challenges ahead of us. Following our release of a synthetic audio dataset in Jan, we're releasing a large dataset of visual deepfakes to support researchers working on synthetic video detection #GoogleAI
https://t.co/sDW7BP34qL",599,1,1,0,1,0,16,1,detecting deepfakes important challenges ahead us following release synthetic audio dataset jan releasing large dataset visual deepfakes support researchers working synthetic video detection googleai,0.5859,0.216,0.784,0.0
Fri Sep 20 12:58:25 +0000 2019,"Great discussion at our new digital skills hub hosted by Minister @KatriKulmuni with govt &amp; business leaders from across the Nordic region on the issues of technology, the future of work &amp; digital skills. Happy I also got to chat with some of the students in our trainings there! https://t.co/xREFAmQFaj",97,1,2,1,1,0,12,0,great discussion new digital skills hub hosted minister katrikulmuni govt amp business leaders across nordic region issues technology future work amp digital skills happy also got chat students trainings,0.8316,0.224,0.776,0.0
Fri Sep 20 09:59:43 +0000 2019,"While in Finland, we also announced new details of our largest corporate purchase of renewable energy in history - nearly half of the megawatts produced will be in Europe and enable investments in the EU of more than €1 billion",93,1,1,0,1,0,9,0,finland also announced new details largest corporate purchase renewable energy history nearly half megawatts produced europe enable investments eu 1 billion,0.2732,0.1,0.9,0.0
Fri Sep 20 09:59:41 +0000 2019,"Hei from Helsinki! Met with Finnish PM @AnttiRinnepj today as we announced €3B to expand data centers in Europe over 2 years. We’re also making a $2M grant to @Nesta_UK for digital training partnerships with trade unions in Finland and 4 EU countries.
https://t.co/vBgBvrbA7S https://t.co/hzPXny3UyX",249,1,2,1,1,0,9,0,hei helsinki met finnish pm anttirinnepj today announced 3b expand data centers europe 2 years also making 2m grant nestauk digital training partnerships trade unions finland 4 eu countries,0.5859,0.161,0.839,0.0
Fri Sep 20 09:55:51 +0000 2019,"@AnttiRinnepj @Google Finland is a great example of how the internet can help drive economic growth, and we look forward to partnering with the Finnish government in the months and years ahead. Together, we can make sure everyone benefits from a strong and sustainable digital economy.",17,1,1,0,1,0,9,0,anttirinnepj google finland great example internet help drive economic growth look forward partnering finnish government months years ahead together make sure everyone benefits strong sustainable digital economy,0.9485,0.456,0.544,0.0
Thu Sep 19 20:24:57 +0000 2019,"We've been carbon neutral since 2007 and today, we're proud to share that Google is making our largest purchase of renewable energy ever. In all, our global portfolio of 52 renewable energy projects is driving $7B+ in new construction &amp; thousands of jobs. https://t.co/le3roYknck",1129,1,1,0,1,0,20,0,weve carbon neutral since 2007 today proud share google making largest purchase renewable energy ever global portfolio 52 renewable energy projects driving 7b new construction amp thousands jobs,0.8176,0.284,0.716,0.0
Thu Sep 19 07:15:54 +0000 2019,"At #GoogleForIndia today, we announced Google Research India - a new AI research team in Bangalore that will focus on advancing computer science &amp; applying AI research to solve big problems in healthcare, agriculture, education, and more. #GoogleAI 
https://t.co/hNlwhhxhVx",2235,1,1,0,1,0,7,2,googleforindia today announced google research india new ai research team bangalore focus advancing computer science amp applying ai research solve big problems healthcare agriculture education googleai,-0.2263,0.063,0.842,0.095
Thu Sep 12 19:49:37 +0000 2019,"This National #RecoveryMonth, we’ve launched a new site to share tools and resources on addiction treatment and recovery, including maps to help find relevant support in your community. https://t.co/FLCTwHdOw4",169,1,1,0,1,0,19,1,national recoverymonth weve launched new site share tools resources addiction treatment recovery including maps help find relevant support community,0.7964,0.378,0.622,0.0
Tue Sep 10 14:06:39 +0000 2019,"Proud @MayoClinic has selected Google as its strategic partner on health innovation. We’re honored that @GoogleCloud &amp; our technologies can help play a role as Mayo continues to advance medical research, virtual care &amp; disease treatment to save more lives.
https://t.co/oEy9WbRQni",393,1,1,0,1,0,14,0,proud mayoclinic selected google strategic partner health innovation honored googlecloud amp technologies help play role mayo continues advance medical research virtual care amp disease treatment save lives,0.9638,0.512,0.488,0.0
Mon Sep 09 21:09:08 +0000 2019,"Heartbreaking to see the devastation that #HurricaneDorian has caused to the Bahamas and the US. We’re donating to support relief &amp; recovery efforts, and also sending Googler volunteers as part of @Googleorg
Crisis Response to help restore connectivity in the Bahamas.",149,1,1,0,1,0,21,1,heartbreaking see devastation hurricanedorian caused bahamas us donating support relief amp recovery efforts also sending googler volunteers part googleorg crisis response help restore connectivity bahamas,-0.0516,0.277,0.466,0.256
Mon Sep 09 17:09:23 +0000 2019,"In April, we open-sourced MLIR, which enables machine learning models to be consistently represented &amp; executed on hardware. Today we’re contributing the project to the LLVM Foundation to further help the standardization &amp; advancement of ML globally. 
https://t.co/8QvOLuShDh",722,1,1,0,1,0,17,0,april opensourced mlir enables machine learning models consistently represented amp executed hardware today contributing project llvm foundation help standardization amp advancement ml globally,0.4019,0.109,0.891,0.0
